Time,ID,Action,Weight (kg),Weight (g)
2020-01-08 19:22:01,000254,food added,,31.29
2020-01-08 19:22:08,000255,food added,,61.55
2020-01-08 19:23:41,,weight checked,22.303,
2020-01-08 19:24:05,000256,food added,,106.64
2020-01-08 19:25:20,000257,food added,,49.72
2020-01-08 19:28:38,000258,food added,,22.80
2020-01-08 19:28:42,,weight checked,22.447,
2020-01-08 19:31:41,000259,food added,,44.41
2020-01-08 19:31:52,000260,food added,,117.63
2020-01-08 19:33:42,,weight checked,22.590,
2020-01-08 19:34:51,000261,food added,,140.57
2020-01-08 19:36:18,000262,food added,,161.02
2020-01-08 19:37:43,000263,food added,,84.29
2020-01-08 19:38:43,,weight checked,22.906,
2020-01-08 19:43:43,,weight checked,22.885,
2020-01-08 19:48:44,,weight checked,22.878,
2020-01-08 19:53:44,,weight checked,22.861,
2020-01-08 19:58:25,000264,food added,,83.37
2020-01-08 19:58:27,000265,food added,,176.62
2020-01-08 19:58:29,000266,bin removed,22.781,
2020-01-08 20:05:44,000267,scale reset,-0.006,
2020-01-08 20:05:44,,weight checked,-0.006,
2020-01-08 20:05:44,,weight checked,-0.006,
2020-01-08 20:08:46,,weight checked,-0.130,
2020-01-08 20:13:46,,weight checked,-0.296,
2020-01-08 20:18:46,,weight checked,-0.389,
2020-01-08 20:23:47,,weight checked,-0.453,
2020-01-08 20:28:47,,weight checked,-0.489,
2020-01-08 20:33:48,,weight checked,-0.524,
2020-01-08 20:38:48,,weight checked,-0.553,
2020-01-08 20:43:49,,weight checked,-0.586,
2020-01-08 20:48:49,,weight checked,-0.646,
2020-01-08 20:53:49,,weight checked,-0.688,
2020-01-08 20:58:50,,weight checked,-0.723,
2020-01-09 06:04:38,,weight checked,-0.021,
2020-01-09 06:04:41,000268,scale reset,0.000,
2020-01-09 06:09:38,,weight checked,0.020,
2020-01-09 06:14:39,,weight checked,0.037,
2020-01-09 06:19:39,,weight checked,0.054,
2020-01-09 06:24:40,,weight checked,0.073,
2020-01-09 06:29:40,,weight checked,0.089,
2020-01-09 06:34:41,,weight checked,0.106,
2020-01-09 06:39:41,,weight checked,0.109,
2020-01-09 06:44:42,,weight checked,0.105,
2020-01-09 06:49:42,,weight checked,0.111,
2020-01-09 06:54:42,,weight checked,0.120,
2020-01-09 06:59:43,,weight checked,0.131,
2020-01-09 07:04:33,000269,bin removed,0,
2020-01-09 07:05:15,000270,scale reset,-0.002,
2020-01-09 07:05:15,,weight checked,-0.002,
2020-01-09 07:09:44,,weight checked,-0.055,
2020-01-09 07:14:44,,weight checked,-0.015,
2020-01-09 07:19:45,,weight checked,0.025,
2020-01-09 07:24:45,,weight checked,0.066,
2020-01-09 07:29:46,,weight checked,0.115,
2020-01-09 07:34:46,,weight checked,0.160,
