Time,ID,Action,Weight (kg),Weight (g)
2019-12-02 14:32:06,000213,food added,,37.14
2019-12-02 14:32:59,,weight checked,12.079,
2019-12-02 14:37:59,,weight checked,12.098,
2019-12-02 14:43:00,,weight checked,12.104,
2019-12-02 14:48:03,,weight checked,12.137,
2019-12-02 14:53:01,,weight checked,12.172,
2019-12-02 14:58:01,,weight checked,12.178,
2019-12-02 15:03:02,,weight checked,12.191,
2019-12-02 15:08:02,,weight checked,12.195,
2019-12-02 15:13:02,,weight checked,12.193,
2019-12-02 15:18:03,,weight checked,12.197,
2019-12-02 15:23:03,,weight checked,12.196,
2019-12-02 15:24:29,000215,food added,,22.63
2019-12-02 15:28:04,,weight checked,12.222,
2019-12-02 15:33:04,,weight checked,12.223,
2019-12-02 15:38:05,,weight checked,12.224,
2019-12-02 15:43:05,,weight checked,12.224,
2019-12-02 15:48:06,,weight checked,12.223,
2019-12-02 15:49:30,000216,food added,,67.35
2019-12-02 15:53:06,,weight checked,12.291,
2019-12-02 15:58:06,,weight checked,12.287,
2019-12-02 16:00:26,000217,scale reset,-0.000,
2019-12-02 16:05:23,,weight checked,-0.030,
2019-12-02 16:10:24,,weight checked,-0.026,
2019-12-02 16:15:24,,weight checked,-0.031,
2019-12-02 16:20:25,,weight checked,-0.034,
2019-12-02 16:25:25,,weight checked,-0.043,
2019-12-02 16:27:49,000218,food added,,58.76
2019-12-02 16:27:52,000219,food added,,80.38
2019-12-02 16:30:25,,weight checked,0.083,
2019-12-02 16:34:59,000220,scale reset,-0.000,
2019-12-02 16:39:54,,weight checked,-0.043,
2019-12-02 16:44:55,,weight checked,-0.052,
2019-12-02 16:49:55,,weight checked,-0.066,
2019-12-02 16:54:56,,weight checked,-0.054,
2019-12-02 16:59:56,,weight checked,-0.043,
2019-12-02 17:04:57,,weight checked,-0.039,
2019-12-02 17:09:10,000221,food added,,35.06
2019-12-02 17:09:57,,weight checked,-0.009,
2019-12-02 17:14:58,,weight checked,-0.011,
2019-12-02 17:18:05,000222,food added,,71.74
2019-12-02 17:19:58,,weight checked,0.075,
2019-12-02 17:23:37,000223,food added,,123.04
2019-12-02 17:24:14,000224,food added,,58.25
2019-12-02 17:24:58,,weight checked,0.246,
2019-12-02 17:25:06,000225,food added,,62.88
2019-12-02 17:27:41,000226,food added,,90.86
2019-12-02 17:27:52,000227,food added,,69.21
2019-12-02 17:29:58,000228,food added,,39.88
2019-12-02 17:29:59,,weight checked,0.504,
2019-12-02 17:30:03,000229,food added,,67.24
2019-12-02 17:30:58,000230,food added,,22.40
2019-12-02 17:32:29,000231,food added,,88.43
2019-12-02 17:33:36,000232,food added,,82.12
2019-12-02 17:34:19,000233,food added,,37.54
2019-12-02 17:34:58,000234,food added,,110.82
2019-12-02 17:34:59,,weight checked,0.912,
2019-12-02 17:35:24,000235,food added,,170.58
2019-12-02 17:39:48,000236,food added,,107.43
2019-12-02 17:40:00,,weight checked,1.199,
2019-12-02 17:40:24,000237,food added,,77.28
2019-12-02 17:43:56,000238,food added,,25.08
2019-12-02 17:44:11,000239,food added,,234.06
2019-12-02 17:44:38,000240,food added,,80.41
2019-12-02 17:45:00,,weight checked,1.630,
2019-12-02 17:45:45,000241,food added,,235.45
2019-12-02 17:46:43,000242,food added,,21.35
2019-12-02 17:47:12,000243,food added,,33.27
2019-12-02 17:47:16,000244,food added,,43.28
2019-12-02 17:48:52,000245,food added,,91.77
2019-12-02 17:49:04,000246,food added,,226.29
2019-12-02 17:49:25,000247,food added,,36.05
2019-12-02 17:49:54,000248,food added,,42.61
2019-12-02 17:50:01,,weight checked,2.347,
2019-12-02 17:51:47,000249,food added,,155.38
2019-12-02 17:53:16,000250,food added,,155.44
2019-12-02 17:53:28,000251,food added,,69.82
2019-12-02 17:54:19,000252,food added,,41.44
2019-12-02 17:55:01,,weight checked,2.750,
2019-12-02 17:57:05,000253,food added,,26.94
2019-12-02 17:57:28,000254,food added,,33.60
2019-12-02 18:00:02,,weight checked,2.868,
2019-12-02 18:00:32,000255,food added,,97.87
2019-12-02 18:01:20,000256,food added,,60.85
2019-12-02 18:01:28,000257,food added,,313.89
2019-12-02 18:04:03,000258,food added,,85.05
2019-12-02 18:04:10,000259,food added,,22.72
2019-12-02 18:05:02,,weight checked,3.500,
2019-12-02 18:06:01,000260,food added,,48.35
2019-12-02 18:08:27,000261,food added,,155.67
2019-12-02 18:09:49,000262,food added,,61.33
2019-12-02 18:10:02,,weight checked,3.774,
2019-12-02 18:10:16,000263,food added,,39.66
2019-12-02 18:10:48,000264,food added,,88.38
2019-12-02 18:11:50,000265,food added,,27.39
2019-12-02 18:12:23,000266,food added,,41.83
2019-12-02 18:12:31,000267,food added,,29.93
2019-12-02 18:12:39,000268,food added,,22.53
2019-12-02 18:12:57,000269,food added,,31.05
2019-12-02 18:13:23,000270,food added,,177.20
2019-12-02 18:14:27,000271,food added,,77.41
2019-12-02 18:14:34,000272,food added,,35.00
2019-12-02 18:15:03,,weight checked,4.393,
2019-12-02 18:20:03,,weight checked,4.406,
2019-12-02 18:25:04,,weight checked,4.418,
2019-12-02 18:26:04,000273,food added,,26.32
2019-12-02 18:30:04,,weight checked,4.455,
2019-12-02 18:32:16,000274,food added,,96.74
2019-12-02 18:35:05,,weight checked,4.557,
2019-12-02 18:37:24,000275,food added,,113.42
2019-12-02 18:38:52,000276,food added,,76.32
2019-12-02 18:40:05,,weight checked,4.730,
2019-12-02 18:41:06,000277,food added,,68.75
2019-12-02 18:41:45,000278,food added,,61.80
2019-12-02 18:45:01,000279,food added,,63.78
