Time,ID,Grade,A,B,C,D,F,N
2020-03-09 13:22:01,000215,B,0.03,0.53,0.39,0.05,0.00,0.00
2020-03-09 13:27:27,000216,N,0.00,0.00,0.00,0.00,0.00,0.99
2020-03-09 13:28:22,000217,B,0.09,0.88,0.03,0.00,0.00,0.00
2020-03-09 13:29:06,000218,C,0.03,0.16,0.75,0.06,0.00,0.00
2020-03-09 13:29:33,000219,C,0.00,0.00,0.57,0.42,0.01,0.00
2020-03-09 13:33:34,000220,C,0.02,0.32,0.35,0.25,0.03,0.03
2020-03-09 13:33:49,000221,A,0.73,0.19,0.04,0.01,0.01,0.02
2020-03-09 13:34:45,000222,A,0.92,0.06,0.01,0.00,0.00,0.00
2020-03-09 13:34:50,000223,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-09 13:34:54,000224,N,0.00,0.00,0.00,0.00,0.00,1.00
2020-03-09 13:38:24,000225,A,0.59,0.39,0.02,0.00,0.00,0.00
2020-03-09 13:39:11,000226,A,0.85,0.14,0.01,0.00,0.00,0.00
2020-03-09 13:40:26,000227,C,0.00,0.04,0.88,0.08,0.00,0.00
2020-03-09 13:41:00,000228,B,0.01,0.58,0.40,0.01,0.00,0.00
2020-03-09 13:41:04,000229,B,0.38,0.60,0.01,0.00,0.00,0.01
2020-03-09 13:48:04,000230,B,0.14,0.51,0.34,0.01,0.00,0.00
2020-03-09 13:49:04,000231,N,0.31,0.00,0.00,0.00,0.01,0.68
2020-03-09 13:50:37,000232,C,0.00,0.46,0.53,0.01,0.00,0.00
2020-03-09 13:52:54,000233,D,0.01,0.05,0.06,0.81,0.07,0.00
2020-03-09 13:52:57,000234,B,0.12,0.80,0.04,0.04,0.00,0.00
2020-03-09 13:53:37,000235,A,0.79,0.18,0.02,0.01,0.00,0.00
2020-03-09 13:55:36,000236,A,0.60,0.38,0.01,0.01,0.00,0.00
2020-03-09 13:55:45,000237,B,0.07,0.72,0.20,0.01,0.00,0.00
2020-03-09 14:00:54,000238,C,0.00,0.01,0.95,0.04,0.00,0.00
2020-03-09 14:05:17,000239,C,0.00,0.01,0.91,0.07,0.00,0.00
2020-03-09 14:13:31,000240,B,0.02,0.95,0.03,0.00,0.00,0.00
2020-03-09 14:20:19,000241,C,0.01,0.17,0.71,0.10,0.01,0.00
2020-03-09 14:22:30,000242,A,0.49,0.34,0.16,0.00,0.00,0.00
2020-03-09 14:22:44,000243,C,0.00,0.03,0.97,0.01,0.00,0.00
2020-03-09 14:27:16,000244,A,0.80,0.05,0.01,0.00,0.00,0.15
2020-03-09 14:33:49,000245,C,0.01,0.40,0.54,0.05,0.00,0.00
2020-03-09 14:35:00,000246,A,0.99,0.01,0.00,0.00,0.00,0.00
2020-03-09 14:35:05,000247,A,0.44,0.32,0.21,0.02,0.00,0.00
2020-03-09 14:36:26,000248,B,0.01,0.78,0.16,0.04,0.00,0.00
2020-03-09 14:36:29,000249,B,0.02,0.79,0.15,0.04,0.00,0.00
2020-03-09 14:47:21,000250,N,0.03,0.00,0.00,0.00,0.00,0.97
2020-03-09 15:07:15,000251,N,0.04,0.00,0.00,0.00,0.00,0.96
2020-03-09 15:53:17,000252,B,0.33,0.54,0.11,0.00,0.00,0.02
2020-03-09 15:53:29,000253,C,0.01,0.33,0.57,0.09,0.01,0.00
2020-03-09 16:12:51,000254,A,0.44,0.28,0.13,0.10,0.01,0.03
2020-03-09 16:13:02,000255,B,0.10,0.38,0.10,0.18,0.03,0.21
2020-03-09 16:23:54,000256,C,0.00,0.37,0.61,0.02,0.00,0.00
2020-03-09 16:29:06,000257,B,0.12,0.72,0.12,0.02,0.00,0.02
2020-03-09 16:54:14,000258,A,0.67,0.29,0.02,0.00,0.00,0.02
2020-03-09 17:23:47,000259,A,0.74,0.22,0.03,0.00,0.00,0.01
2020-03-09 17:24:38,000260,A,0.98,0.02,0.00,0.00,0.00,0.00
2020-03-09 17:24:58,000261,A,0.52,0.44,0.04,0.00,0.00,0.00
2020-03-09 17:26:55,000262,N,0.43,0.00,0.00,0.00,0.00,0.56
2020-03-09 17:31:24,000263,B,0.07,0.52,0.39,0.02,0.00,0.00
2020-03-09 17:31:29,000264,A,0.79,0.20,0.01,0.00,0.00,0.00
2020-03-09 17:34:06,000265,B,0.00,0.99,0.00,0.00,0.00,0.00
2020-03-09 17:34:18,000266,A,0.93,0.06,0.00,0.00,0.00,0.00
2020-03-09 17:34:35,000267,A,0.64,0.29,0.06,0.00,0.00,0.00
2020-03-09 17:36:23,000268,C,0.00,0.00,0.88,0.11,0.00,0.00
2020-03-09 17:36:44,000269,C,0.01,0.06,0.91,0.02,0.00,0.00
2020-03-09 17:37:10,000270,A,0.58,0.40,0.02,0.00,0.00,0.00
2020-03-09 17:37:43,000271,D,0.00,0.00,0.27,0.70,0.03,0.00
2020-03-09 17:37:57,000272,B,0.01,0.70,0.27,0.02,0.00,0.00
2020-03-09 17:38:02,000273,A,0.56,0.44,0.00,0.00,0.00,0.00
2020-03-09 17:38:15,000274,B,0.02,0.79,0.17,0.02,0.00,0.00
2020-03-09 17:40:16,000275,C,0.00,0.00,0.89,0.10,0.01,0.00
2020-03-09 17:40:29,000276,C,0.00,0.01,0.98,0.02,0.00,0.00
2020-03-09 17:40:36,000277,B,0.00,0.89,0.11,0.00,0.00,0.00
2020-03-09 17:41:00,000278,A,0.76,0.10,0.05,0.02,0.00,0.06
2020-03-09 17:42:56,000279,A,0.57,0.43,0.00,0.00,0.00,0.00
2020-03-09 17:43:05,000280,B,0.01,0.97,0.02,0.00,0.00,0.00
2020-03-09 17:44:53,000281,C,0.01,0.17,0.77,0.04,0.00,0.00
2020-03-09 17:46:10,000282,C,0.01,0.24,0.73,0.01,0.00,0.00
2020-03-09 17:48:18,000283,C,0.03,0.27,0.66,0.04,0.00,0.00
2020-03-09 17:51:16,000284,C,0.00,0.26,0.62,0.12,0.00,0.00
2020-03-09 17:52:23,000285,B,0.22,0.55,0.23,0.00,0.00,0.00
2020-03-09 17:52:43,000286,A,0.89,0.10,0.01,0.00,0.00,0.00
2020-03-09 17:52:59,000287,A,0.96,0.03,0.01,0.00,0.00,0.00
2020-03-09 17:53:29,000288,B,0.12,0.74,0.11,0.02,0.00,0.00
2020-03-09 17:53:57,000289,B,0.01,0.78,0.20,0.01,0.00,0.00
2020-03-09 17:54:36,000290,B,0.05,0.70,0.24,0.00,0.00,0.00
